Time,US PPI YoY,US PPI YoY F,US PPI YoY P,US PPI MoM,US PPI MoM F,US PPI MoM P,US PPI Core YoY,US PPI Core F YoY,US PPI Core P YoY,US PPI Core MoM,US PPI Core MoM F,US PPI Core MoM P,UK PPI YoY,UK PPI YoY F,UK PPI P,Column 1,2,3,EU PPI YoY,EU PPI YoY F,EU PPI YoY P,EU PPI MoM,EU PPI MoM F,EU PPI MoM P,GER PPI YoY,GER PPI YoY F,GER PPI YoY P,GER PPI MoM,GER PPI MoM F,GER PPI MoM P,FRANCE PPI YoY,FRANCE PPI YoY F,FRANCE PPI YoY P,FRANCE PPI MoM,FRANCE PPI MoM F,FRANCE PPI MoM P,ITALY PPI YoY,ITALY PPI YoY F,ITALY PPI YoY P,ITALY PPI MoM,ITALY PPI MoM F,ITALY PPI MoM P,AU PPI YoY,AU PPI YoY F,AU PPI YoY P,CANADA PPI YoY,CANADA PPI YoY F,CANADA PPI YoY P,CANADA PPI MoM,CANADA PPI MoM F,CANADA PPI MoM P,MEXICO PPI YoY,MEXICO PPI YoY F,MEXICO PPI YoY P,BRAZIL PPI MoM,BRAZIL PPI MoM F,BRAZIL PPI MoM P,China PPI YoY,China PPI YoY F,China PPI YoY P,JAPAN PPI YoY,JAPAN PPI YoY F,JAPAN PPI YoY P,JAPAN PPI MoM,JAPAN PPI MoM F,JAPAN PPI MoM P,KOREA PPI YoY,KOREA PPI YoY F,KOREA PPI YoY P,KOREA PPI MoM,KOREA PPI MoM F,KOREA PPI MoM P
4/2024,2.2%,2.2%,2.3%,0.5%,0.3%,0.50%,2.40%,2.40%,2.50%,0.50%,0.20%,0.50%,2.2%,2.20%,2.30%,,,,-5.70%,-5.10%,-5.70%,-1.00%,-0.60%,-1.00%,-3.3%,-3.20%,-3.30%,0.2%,0.30%,0.20%,-6.8%,,-6.70%,-3.6%,,-3.60%,-5.9%,,-1.40%,-0.9%,,-0.70%,4.80%,,4.80%,1.40%,,1.30%,1.50%,0.80%,1.4%,2.60%,,2.50%,0.70%,,0.70%,-2.50%,-2.30%,-2.50%,0.90%,0.90%,1.10%,0.30%,,0.50%,1.8%,,1.90%,0.3%,,0.30%
5/2024,2.2%,2.5%,2.4%,-0.2%,0.1%,0.00%,2.30%,2.40%,2.60%,0.00%,0.30%,0.30%,2.2%,2.50%,2.40%,,,,-4.20%,-4.10%,-4.20%,-0.20%,-0.10%,-0.20%,-2.2%,-2.00%,-2.20%,0.0%,0.10%,0.00%,-6.7%,,-6.70%,-1.4%,,-1.60%,-3.5%,,-3.50%,0.3%,,0.30%,4.80%,,4.80%,1.80%,,2.10%,0.00%,0.40%,0.2%,3.30%,,3.30%,0.50%,,0.40%,-1.40%,-1.50%,-1.40%,2.40%,2.00%,2.60%,0.70%,0.40%,0.70%,2.3%,,2.30%,0.1%,,0.10%
6/2024,2.6%,2.3%,2.7%,0.2%,0.1%,0.20%,3.00%,2.50%,3.00%,0.40%,0.20%,0.30%,2.6%,2.30%,2.70%,,,,-3.20%,-3.30%,-3.30%,0.50%,0.10%,0.60%,-1.6%,-1.60%,-1.60%,0.2%,0.10%,0.20%,-6.0%,,-5.90%,-0.3%,,-0.20%,-2.5%,,-2.50%,0.7%,,0.70%,4.80%,,4.80%,2.80%,,2.90%,0.00%,0.20%,-0.1%,5.10%,,5.10%,1.30%,,1.26%,-0.80%,-0.80%,-0.80%,2.90%,2.90%,2.90%,0.20%,0.40%,0.20%,2.5%,,2.50%,-0.1%,,-0.10%
7/2024,2.2%,2.3%,2.1%,0.1%,0.2%,0.00%,2.40%,2.70%,2.30%,0.00%,0.20%,-0.20%,2.2%,2.30%,2.10%,,,,-2.10%,-2.50%,-2.20%,0.80%,0.30%,0.70%,-0.8%,-0.80%,-0.80%,0.2%,0.20%,0.20%,-5.4%,,-5.70%,0.2%,,0.30%,-1.1%,,-1.10%,1.3%,,1.30%,3.90%,,3.90%,2.90%,,2.80%,0.00%,-0.30%,-0.1%,,,,1.58%,,1.53%,-0.80%,-0.90%,-0.80%,3.00%,3.00%,3.00%,0.30%,,0.50%,2.6%,,2.60%,0.3%,,0.30%
8/2024,1.7%,1.8%,1.9%,0.2%,0.1%,0.20%,2.40%,2.50%,2.60%,0.30%,0.20%,0.30%,1.7%,1.80%,1.90%,,,,-2.30%,-2.40%,-2.30%,0.60%,0.40%,0.60%,-0.8%,-1.00%,-0.80%,0.2%,0.00%,0.20%,-6.3%,,-6.30%,0.2%,,0.30%,-0.8%,,-0.80%,0.7%,,0.70%,3.90%,,3.90%,0.20%,,0.20%,-0.80%,-0.30%,-0.8%,,,,0.61%,,0.66%,-1.80%,-1.50%,-1.80%,2.50%,2.80%,2.60%,-0.20%,0.00%,-0.20%,1.6%,,1.60%,-0.1%,,-0.20%
9/2024,1.8%,1.6%,1.9%,0.0%,0.1%,0.10%,2.80%,2.70%,2.90%,0.20%,0.20%,0.20%,1.8%,1.60%,1.90%,,,,-3.40%,-3.50%,-3.40%,-0.60%,-0.50%,-0.60%,-1.4%,,-1.40%,-0.5%,-0.20%,-0.50%,-7.0%,,-6.90%,-0.1%,,-0.10%,-2.0%,,-2.00%,-0.6%,,-0.60%,3.90%,,3.90%,-0.90%,,-1.00%,-0.60%,-0.40%,-0.8%,,,,0.66%,,0.62%,-2.80%,-2.50%,-2.80%,2.80%,2.30%,3.10%,0.00%,-0.30%,0.30%,1.0%,,1%,-0.2%,,-0.20%
10/2024,2.4%,2.3%,2.6%,0.2%,0.2%,0.30%,3.10%,3.00%,3.40%,0.30%,0.30%,0.30%,2.4%,2.30%,2.60%,,,,-3.20%,,-3.30%,0.40%,0.40%,0.40%,-1.1%,-1.10%,-1.10%,0.2%,-0.10%,0.20%,-5.7%,,-6.00%,0.9%,0.00%,0.90%,-2.8%,,-2.80%,0.7%,,0.70%,3.70%,,3.70%,1.10%,,1.10%,1.20%,0.30%,1.2%,,,,0.94%,,0.97%,-2.90%,-2.50%,-2.90%,3.40%,2.90%,3.60%,0.20%,0.00%,0.30%,1.0%,,1%,-0.1%,,-0.10%
11/2024,3.0%,2.6%,3.0%,0.4%,0.2%,0.40%,3.40%,3.20%,3.50%,0.20%,0.20%,0.20%,3.0%,2.60%,3.00%,,,,-1.20%,-1.30%,-1.20%,1.60%,1.50%,1.70%,0.1%,-0.30%,0.10%,0.5%,0.30%,0.50%,-5.2%,,-4.70%,3.2%,,3.70%,-0.5%,,-0.50%,1.2%,,1.20%,3.70%,,3.70%,2.20%,,2.20%,0.60%,0.30%,0.6%,,,,1.23%,,1.25%,-2.50%,-2.80%,-2.50%,3.70%,3.40%,3.60%,0.30%,0.20%,0.30%,1.4%,,1%,0.1%,,0.10%
12/2024,3.3%,3.5%,3.5%,0.2%,0.4%,0.50%,3.50%,3.80%,3.70%,0.00%,0.30%,0.40%,3.3%,3.50%,3.50%,,,,0.00%,-0.10%,0.10%,0.40%,0.50%,0.50%,0.8%,1.10%,0.80%,-0.1%,0.30%,-0.10%,-3.8%,,-3.80%,1.0%,,0.90%,1.1%,,1.10%,0.6%,,0.60%,3.70%,,3.70%,4.10%,,4.10%,0.20%,0.50%,0.4%,,,,1.48%,,1.35%,-2.30%,-2.30%,-2.50%,3.80%,3.80%,3.90%,0.30%,0.40%,0.30%,1.7%,,2%,0.3%,,0.40%
1/2025,3.5%,3.4%,3.7%,0.4%,0.3%,0.60%,3.60%,3.50%,3.80%,0.30%,0.10%,0.50%,3.5%,3.20%,,,,,1.80%,1.40%,1.70%,0.80%,0.30%,0.70%,0.5%,1.30%,0.50%,-0.1%,0.60%,-0.10%,-2.1%,,-2.20%,0.7%,,0.80%,4.4%,,4.40%,1.6%,,1.60%,3.70%,,3.70%,5.80%,,5.80%,1.60%,0.80%,1.6%,,,,0.13%,,0.15%,-2.30%,-2.30%,-2.30%,4.20%,4.00%,4.20%,0.30%,0.40%,0.30%,1.7%,,1.80%,0.6%,,0.60%
2/2025,3.2%,3.3%,3.2%,0.0%,0.3%,0.10%,3.40%,3.50%,3.50%,-0.10%,0.30%,0.10%,,,,,,,3.00%,,3.00%,0.20%,0.30%,"0,20%",0.7%,1.00%,0.70%,-0.2%,0.20%,-0.20%,-1.4%,,-1.20%,-0.5%,,-0.40%,6.2%,,6.20%,0.7%,,0.70%,3.70%,,3.70%,4.90%,,5.10%,0.40%,0.30%,0.6%,,,,-0.12%,,-0.12%,-2.20%,-2.10%,-2.20%,4.00%,4.00%,4.10%,0.00%,-0.10%,0.20%,1.5%,,1.50%,0.0%,,0.00%
3/2025,2.7%,3.3%,3.4%,-0.4%,0.2%,0.00%,3.30%,3.60%,4.0%,-0.10%,0.30%,0.40%,,,,,,,1.90%,2.00%,1.90%,-1.60%,-1.60%,-1.70%,-0.2%,0.40%,-0.20%,-0.7%,-0.10%,-0.70%,-0.6%,,-0.20%,-0.6%,,-0.50%,3.9%,,3.90%,-2.4%,,-2.40%,3.70%,,3.70%,4.70%,,"4,70%",0.50%,0.30%,0.5%,,,,-0.62%,,,-2.50%,-2.30%,-2.70%,4.20%,3.90%,4.30%,0.40%,0.20%,0.40%,1.3%,,1.30%,0.0%,,0.00%
4/2025,2.4%,2.5%,2.5%,-0.5%,0.2%,-0.20%,3.10%,3.10%,3.2%,-0.40%,0.30%,0.30%,,,,,,,0.70%,1.20%,0.70%,-2.20%,-1.80%,-2.20%,-0.9%,-0.60%,,-0.6%,-0.30%,-0.20%,-0.8%,,-0.70%,-4.3%,,-4.20%,2.6%,,2.60%,-2.2%,,-2.20%,3.40%,3.50%,,2.00%,,2.00%,-0.80%,-0.50%,-0.8%,,,,,,-0.36%,-2.70%,-2.70%,-2.70%,4.00%,4.00%,4.10%,0.20%,0.20%,0.30%,0.9%,,0.80%,-0.1%,,-0.20%
5/2025,2.6%,2.6%,2.7%,0.1%,0.2%,0.30%,3.00%,3.10%,3.2%,0.10%,"-0,20%",0.4%%,,,,,,,0.30%,0.30%,0.30%,-0.60%,-0.50%,-0.60%,,,-1.20%,0.1%,0.00%,,0.2%,,,-0.8%,,,1.7%,,,-0.7%,,,3.40%,3.50%,,1.20%,2.30%,1.20%,-0.50%,-0.30%,0.5%,,,,-1.29%,-0.20%,,-3.30%,-3.10%,-3.30%,3.20%,3.50%,,-0.20%,,-0.10%,0.3%,,0.30%,-0.4%,,-0.40%
6/2025,2.3%,2.5%,,0.0%,0.2%,,2.60%,2.70%,,0.00%,0.20%,,,,,,,,0.60%,0.50%,,0.80%,0.80%,,-1.3%,-1.30%,,,,,,,,,,,,,,,,,3.40%,3.50%,,1.70%,2.50%,,0.40%,0.30%,,,,,,,,-3.60%,-3.20%,-3.60%,2.90%,,,-0.20%,-0.20%,,0.5%,,,0.1%,,
7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.60%,-3.40%,,,,,,,,,,,,,
